,Gross domestic product 2024,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States," 29,184,890 ",
CHN,2,,China," 18,743,803 ",
DEU,3,,Germany," 4,659,929 ",
JPN,4,,Japan," 4,026,211 ",
IND,5,,India," 3,912,686 ",
GBR,6,,United Kingdom," 3,643,834 ",
FRA,7,,France," 3,162,079 ",
ITA,8,,Italy," 2,372,775 ",
CAN,9,,Canada," 2,241,253 ",
BRA,10,,Brazil," 2,179,412 ",
RUS,11,,Russian Federation," 2,173,836 ",a
MEX,12,,Mexico," 1,852,723 ",
AUS,13,,Australia," 1,752,193 ",
ESP,14,,Spain," 1,722,746 ",
KOR,15,,"Korea, Rep."," 1,712,793 ",
IDN,16,,Indonesia," 1,396,300 ",
TUR,17,,Türkiye," 1,323,255 ",
SAU,18,,Saudi Arabia," 1,237,530 ",
NLD,19,,Netherlands," 1,227,544 ",
CHE,20,,Switzerland," 936,564 ",
POL,21,,Poland," 914,696 ",
BEL,22,,Belgium," 664,564 ",
ARG,23,,Argentina," 633,267 ",
SWE,24,,Sweden," 610,118 ",
IRL,25,,Ireland," 577,389 ",
SGP,26,,Singapore," 547,387 ",
ISR,27,,Israel," 540,380 ",
ARE,28,,United Arab Emirates," 537,079 ",
THA,29,,Thailand," 526,411 ",
AUT,30,,Austria," 521,642 ",
NOR,31,,Norway," 483,727 ",
VNM,32,,Viet Nam," 476,388 ",
PHL,33,,Philippines," 461,618 ",
BGD,34,,Bangladesh," 450,119 ",
IRN,35,,"Iran, Islamic Rep."," 436,906 ",
DNK,36,,Denmark," 429,457 ",
MYS,37,,Malaysia," 421,972 ",
COL,38,,Colombia," 418,542 ",
HKG,39,,"Hong Kong SAR, China"," 407,107 ",
ZAF,40,,South Africa," 400,261 ",
EGY,41,,"Egypt, Arab Rep."," 389,060 ",
ROU,42,,Romania," 382,768 ",
PAK,43,,Pakistan," 373,072 ",
CZE,44,,Czech Republic," 345,037 ",
CHL,45,,Chile," 330,267 ",
PRT,46,,Portugal," 308,683 ",
FIN,47,,Finland," 299,836 ",
PER,48,,Peru," 289,222 ",
KAZ,49,,Kazakhstan," 288,406 ",
IRQ,50,,Iraq," 279,641 ",
DZA,51,,Algeria," 263,620 ",
NZL,52,,New Zealand," 260,236 ",
GRC,53,,Greece," 257,145 ",
HUN,54,,Hungary," 222,905 ",
QAT,55,,Qatar," 217,983 ",
UKR,56,,Ukraine," 190,741 ",a
NGA,57,,Nigeria," 187,760 ",
KWT,58,,Kuwait," 160,227 ",
MAR,59,,Morocco," 154,431 ",b
SVK,60,,Slovak Republic," 141,776 ",
ETH,61,,Ethiopia," 126,773 ",
PRI,62,,Puerto Rico (US)," 125,842 ",
ECU,63,,Ecuador," 124,676 ",
KEN,64,,Kenya," 124,499 ",
DOM,65,,Dominican Republic," 124,282 ",
UZB,66,,Uzbekistan," 114,965 ",
GTM,67,,Guatemala," 113,200 ",
BGR,68,,Bulgaria," 112,212 ",
OMN,69,,Oman," 106,943 ",
LKA,70,,Sri Lanka," 98,963 ",
CRI,71,,Costa Rica," 95,350 ",
LUX,72,,Luxembourg," 93,197 ",
HRV,73,,Croatia," 92,526 ",
SRB,74,,Serbia," 89,084 ",
CIV,75,,Côte d'Ivoire," 86,538 ",
PAN,76,,Panama," 86,260 ",
LTU,77,,Lithuania," 84,869 ",
GHA,78,,Ghana," 82,825 ",
URY,79,,Uruguay," 80,962 ",
AGO,80,,Angola," 80,397 ",
TZA,81,,Tanzania," 78,780 ",c
BLR,82,,Belarus," 75,962 ",
AZE,83,,Azerbaijan," 74,316 ",
MMR,84,,Myanmar," 74,080 ",
SVN,85,,Slovenia," 72,485 ",
COD,86,,"Congo, Dem. Rep."," 70,749 ",
TKM,87,,Turkmenistan," 64,240 ",
UGA,88,,Uganda," 53,652 ",
TUN,89,,Tunisia," 53,410 ",
JOR,90,,Jordan," 53,352 ",
CMR,91,,Cameroon," 51,327 ",
MAC,92,,"Macao SAR, China"," 50,183 ",
SDN,93,,Sudan," 49,910 ",
BOL,94,,Bolivia," 49,668 ",
BHR,95,,Bahrain," 47,737 ",
LBY,96,,Libya," 46,636 ",
KHM,97,,Cambodia," 46,353 ",
PRY,98,,Paraguay," 44,458 ",
ZWE,99,,Zimbabwe," 44,188 ",
LVA,100,,Latvia," 43,521 ",
NPL,101,,Nepal," 42,914 ",
EST,102,,Estonia," 42,765 ",
HND,103,,Honduras," 37,094 ",
CYP,104,,Cyprus," 36,333 ",d
SLV,105,,El Salvador," 35,365 ",
GEO,106,,Georgia," 33,776 ",e
ISL,107,,Iceland," 33,463 ",
PNG,108,,Papua New Guinea," 32,538 ",
SEN,109,,Senegal," 32,267 ",
BIH,110,,Bosnia and Herzegovina," 28,343 ",
ALB,111,,Albania," 27,178 ",
MLI,112,,Mali," 26,588 ",
TTO,113,,Trinidad and Tobago," 26,429 ",
ZMB,114,,Zambia," 26,326 ",
ARM,115,,Armenia," 25,787 ",
GIN,116,,Guinea," 25,334 ",
HTI,117,,Haiti," 25,224 ",
GUY,118,,Guyana," 24,836 ",
MLT,119,,Malta," 24,322 ",
MNG,120,,Mongolia," 23,586 ",
BFA,121,,Burkina Faso," 23,250 ",
MOZ,122,,Mozambique," 22,417 ",
BEN,123,,Benin," 21,483 ",
GAB,124,,Gabon," 20,867 ",
TCD,125,,Chad," 20,626 ",
LBN,126,,Lebanon," 20,079 ",
SYR,127,,Syrian Arab Republic," 19,993 ",
JAM,128,,Jamaica," 19,930 ",
NIC,129,,Nicaragua," 19,694 ",
NER,130,,Niger," 19,538 ",
BWA,131,,Botswana," 19,401 ",
MDA,132,,Moldova," 18,200 ",f
