,Population 2024,,,,,
,,,,,,
,,,,,,
,Ranking,,Economy,(thousands),,
,,,,,,
IND,1,,India," 1,450,936 ",,
CHN,2,,China," 1,408,975 ",,
USA,3,,United States," 340,111 ",,
IDN,4,,Indonesia," 283,488 ",,
PAK,5,,Pakistan," 251,269 ",,
NGA,6,,Nigeria," 232,679 ",,
BRA,7,,Brazil," 211,999 ",,
BGD,8,,Bangladesh," 173,562 ",,
RUS,9,,Russian Federation," 143,534 ",,
ETH,10,,Ethiopia," 132,060 ",,
MEX,11,,Mexico," 130,861 ",,
JPN,12,,Japan," 123,975 ",,
EGY,13,,"Egypt, Arab Rep."," 116,538 ",,
PHL,14,,Philippines," 115,844 ",,
COD,15,,"Congo, Dem. Rep."," 109,276 ",,
VNM,16,,Viet Nam," 100,988 ",,
IRN,17,,"Iran, Islamic Rep."," 91,568 ",,
TUR,18,,Türkiye," 85,519 ",,
DEU,19,,Germany," 83,511 ",,
THA,20,,Thailand," 71,668 ",,
GBR,21,,United Kingdom," 69,226 ",,
TZA,22,,Tanzania," 68,560 ",,
FRA,23,,France," 68,517 ",,
ZAF,24,,South Africa," 64,007 ",,
ITA,25,,Italy," 58,986 ",,
KEN,26,,Kenya," 56,433 ",,
MMR,27,,Myanmar," 54,500 ",,
COL,28,,Colombia," 52,886 ",,
KOR,29,,"Korea, Rep."," 51,751 ",,
SDN,30,,Sudan," 50,449 ",,
UGA,31,,Uganda," 50,015 ",,
ESP,32,,Spain," 48,807 ",,
DZA,33,,Algeria," 46,814 ",,
IRQ,34,,Iraq," 46,042 ",,
ARG,35,,Argentina," 45,696 ",,
AFG,36,,Afghanistan," 42,647 ",,
CAN,37,,Canada," 41,289 ",,
YEM,38,,"Yemen, Rep."," 40,583 ",,
MAR,39,,Morocco," 38,081 ",,
AGO,40,,Angola," 37,886 ",,
UKR,41,,Ukraine," 37,860 ",,
POL,42,,Poland," 36,555 ",,
UZB,43,,Uzbekistan," 36,362 ",,
MYS,44,,Malaysia," 35,558 ",,
SAU,45,,Saudi Arabia," 35,300 ",,
MOZ,46,,Mozambique," 34,632 ",,
GHA,47,,Ghana," 34,427 ",,
PER,48,,Peru," 34,218 ",,
MDG,49,,Madagascar," 31,965 ",,
CIV,50,,Côte d'Ivoire," 31,934 ",,
NPL,51,,Nepal," 29,651 ",,
CMR,52,,Cameroon," 29,124 ",,
VEN,53,,"Venezuela, RB"," 28,406 ",,
AUS,54,,Australia," 27,205 ",,
NER,55,,Niger," 27,032 ",,
PRK,56,,"Korea, Dem. People's Rep."," 26,499 ",,
SYR,57,,Syrian Arab Republic," 24,673 ",,
MLI,58,,Mali," 24,479 ",,
BFA,59,,Burkina Faso," 23,549 ",,
LKA,60,,Sri Lanka," 21,916 ",,
MWI,61,,Malawi," 21,655 ",,
ZMB,62,,Zambia," 21,315 ",,
KAZ,63,,Kazakhstan," 20,593 ",,
TCD,64,,Chad," 20,299 ",,
CHL,65,,Chile," 19,765 ",,
ROU,66,,Romania," 19,069 ",,
SOM,67,,Somalia," 19,009 ",,
SEN,68,,Senegal," 18,502 ",,
GTM,69,,Guatemala," 18,406 ",,
ECU,70,,Ecuador," 18,135 ",,
